unit_id,unit_type,agency,dispatch_group,beat,station_id,pair_unit_id,default_attributes,default_m_skill,typical_als_equipment,attribute_source
MCP430-2,MCP,FIRE,F1,430,430,,,0,,Unknown / not modeled
MCP430-3,MCP,FIRE,F1,430,430,,,0,,Unknown / not modeled
MCP438,MCP,FIRE,F1,438,438,,,0,,Unknown / not modeled
MCP440,MCP,FIRE,F1,440,440,,,0,,Unknown / not modeled
MCP443,MCP,FIRE,F1,433,433,,,0,,Unknown / not modeled
MCP499,MCP,FIRE,F1,445,445,,,0,,Unknown / not modeled
MCP503,ADM,FIRE,F1,503,503,,,0,,Unknown / not modeled
MCP680,ADM,FIRE,F1,600,600,,,0,,Unknown / not modeled
MCP800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MCP800B,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MCSU301,MCU,FIRE,F1,301,301,,,0,,Unknown / not modeled
MCSU302,MCU,FIRE,F1,302,302,,,0,,Unknown / not modeled
MCSU401,MCU,FIRE,F1,442,442,,,0,,Unknown / not modeled
MCSU402,MCU,FIRE,F1,419,419,,,0,,Unknown / not modeled
MCSU415,MCU,FIRE,F1,415,415,,,0,,Unknown / not modeled
MCSU419,MCU,FIRE,F1,419,419,,,0,,Unknown / not modeled
MCSU435,MCU,FIRE,F1,435,435,,,0,,Unknown / not modeled
MCSU442,MCU,FIRE,F1,442,442,,,0,,Unknown / not modeled
MCSU507,MCU,FIRE,F1,507,507,,,0,,Unknown / not modeled
MCSU516,MCU,FIRE,F1,516,516,,,0,,Unknown / not modeled
MCSU523,MCU,FIRE,F1,523,523,,,0,,Unknown / not modeled
MCSU524,MCU,FIRE,F1,524,524,,,0,,Unknown / not modeled
MCSU603,MCU,FIRE,F1,603,603,,,0,,Unknown / not modeled
MCSU615,MCU,FIRE,F1,635,635,,,0,,Unknown / not modeled
MCU364,MCU,FIRE,F1,304,304,,,0,,Unknown / not modeled
MCU415,MCU,FIRE,F1,415,415,,,0,,Unknown / not modeled
